Lot #,Shape,Color,Clarity,Weight,Lab,Cut Grade,Polish,Symmetry,Fluor,Rapaport Price,% Off RAP,Price/Ct,Certificate #,Length,Width,Depth,Depth %,Table %,Gridle,Culet,Description/Comments,Origin,Measurement,Certificate Image,Video Link
2000072274,ROUND,G,VVS2,0.32,IGI,Excellent,Excellent,Excellent,NONE,2300,83,391,LG468173865,4.39,4.41,2.75,62.4,57.5,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.39x4.41x2.75,https://s3.amazonaws.com/lgdcertificates/LG468173865.pdf,https://s3.amazonaws.com/lgdvideos/LG468173865.html
2000065213,ROUND,G,VVS2,0.32,IGI,Excellent,Excellent,Excellent,NONE,2300,83,391,LG468174651,4.36,4.38,2.73,62.4,57.5,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.36x4.38x2.73,https://s3.amazonaws.com/lgdcertificates/LG468174651.pdf,https://s3.amazonaws.com/lgdvideos/LG468174651.html
2000028976,ROUND,G,VS1,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,None,2200,83,374,LG436080715,4.42,4.43,2.71,61.1,58.5,MDFC,POINTED,MISC,LAB CREATED,4.42x4.43x2.71,https://s3.amazonaws.com/lgdcertificates/LG436080715.pdf,https://s3.amazonaws.com/lgdvideos/LG436080715.html
2000072235,ROUND,G,VS1,0.32,IGI,Ideal,Excellent,Excellent,NONE,2200,83,374,LG464197823,4.42,4.44,2.74,61.7,55.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.42x4.44x2.74,https://s3.amazonaws.com/lgdcertificates/LG464197823.pdf,https://s3.amazonaws.com/lgdvideos/LG464197823.html
2000072651,ROUND,G,VS1,0.32,IGI,Ideal,Excellent,Excellent,NONE,2200,83,374,LG464197826,4.4,4.43,2.76,62.5,56,Medium (Faceted),Pointed,MISC,LAB CREATED,4.4x4.43x2.76,https://s3.amazonaws.com/lgdcertificates/LG464197826.pdf,https://s3.amazonaws.com/lgdvideos/LG464197826.html
2000072152,ROUND,G,VS1,0.32,IGI,Ideal,Excellent,Excellent,NONE,2200,83,374,LG464197835,4.41,4.43,2.72,61.6,56,Medium (Faceted),Pointed,MISC,LAB CREATED,4.41x4.43x2.72,https://s3.amazonaws.com/lgdcertificates/LG464197835.pdf,https://s3.amazonaws.com/lgdvideos/LG464197835.html
2000069186,ROUND,G,VS1,0.32,IGI,Excellent,Excellent,Excellent,NONE,2200,83,374,LG464197842,4.39,4.42,2.77,62.8,55.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.39x4.42x2.77,https://s3.amazonaws.com/lgdcertificates/LG464197842.pdf,https://s3.amazonaws.com/lgdvideos/LG464197842.html
2000072151,ROUND,G,VS1,0.32,IGI,Excellent,Excellent,Excellent,NONE,2200,83,374,LG468173870,4.4,4.42,2.71,61.5,58,Medium (Faceted),Pointed,MISC,LAB CREATED,4.4x4.42x2.71,https://s3.amazonaws.com/lgdcertificates/LG468173870.pdf,https://s3.amazonaws.com/lgdvideos/LG468173870.html
6100360243,ROUND,G,VS2,0.32,IGI,Ideal,Excellent,Excellent,NONE,2100,83,357,LG470150534,4.38,4.42,2.69,61.1,59,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.38x4.42x2.69,https://s3.amazonaws.com/lgdcertificates/LG470150534.pdf,https://s3.amazonaws.com/lgdvideos/LG470150534.html
6100413332,ROUND,G,VS2,0.32,IGI,Ideal,Excellent,Excellent,NONE,2100,83,357,LG470150606,4.41,4.45,2.72,61.3,58.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.41x4.45x2.72,https://s3.amazonaws.com/lgdcertificates/LG470150606.pdf,https://s3.amazonaws.com/lgdvideos/LG470150606.html
2000045921,ROUND,G,VS2,0.32,IGI,Ideal,Excellent,Excellent,NONE,2100,83,357,LG470150618,4.45,4.48,2.69,60.2,59,Medium (Faceted),Pointed,MISC,LAB CREATED,4.45x4.48x2.69,https://s3.amazonaws.com/lgdcertificates/LG470150618.pdf,https://s3.amazonaws.com/lgdvideos/LG470150618.html
2000024189,ROUND,H,VVS1,0.32,IGI,Excellent,Excellent,Excellent,NONE,2300,83,391,LG442037477,4.39,4.43,2.75,62.4,57,Medium (Faceted),Pointed,MISC,LAB CREATED,4.39x4.43x2.75,https://s3.amazonaws.com/lgdcertificates/LG442037477.pdf,https://s3.amazonaws.com/lgdvideos/LG442037477.html
9000306660,ROUND,J,VS1,0.32,IGI,Ideal,Excellent,Very Good,NONE,1600,83,272,LG310871076,4.43,4.46,2.72,61.3,57,Medium Faceted,POINTED,MISC,LAB CREATED,4.43x4.46x2.72,https://s3.amazonaws.com/lgdcertificates/LG310871076.pdf,https://s3.amazonaws.com/lgdvideos/LG310871076.html
9000103644,ROUND,K-FAINT BROWN,VS1,0.32,IGI,Ideal,Excellent,Excellent,NONE,1400,83,238,LG250688121,4.37,4.43,2.7,61.6,57.5,Medium (Partly Faceted),POINTED,MISC,LAB CREATED,4.37x4.43x2.7,https://s3.amazonaws.com/lgdcertificates/LG250688121.pdf,https://s3.amazonaws.com/lgdvideos/LG250688121.html
2000072759,ROUND,D,VVS1,0.33,IGI,Ideal,Excellent,Excellent,NONE,3000,83,510,LG468176121,4.48,4.51,2.73,60.8,58,Medium (Faceted),Pointed,MISC,LAB CREATED,4.48x4.51x2.73,https://s3.amazonaws.com/lgdcertificates/LG468176121.pdf,https://s3.amazonaws.com/lgdvideos/LG468176121.html
2000077252,ROUND,D,VS1,0.33,IGI,Ideal,Excellent,Excellent,NONE,2600,83,442,LG464196572,4.48,4.5,2.74,61,57,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.48x4.5x2.74,https://s3.amazonaws.com/lgdcertificates/LG464196572.pdf,https://s3.amazonaws.com/lgdvideos/LG464196572.html
2000059045,ROUND,E,VVS2,0.33,IGI,EXCELLENT,EXCELLENT,EXCELLENT,None,2600,83,442,LG445017974,4.46,4.48,2.75,61.5,58.5,MDFC,POINTED,MISC,LAB CREATED,4.46x4.48x2.75,https://s3.amazonaws.com/lgdcertificates/LG445017974.pdf,https://s3.amazonaws.com/lgdvideos/LG445017974.html
2000028895,ROUND,E,VVS2,0.33,IGI,Ideal,Excellent,Excellent,NONE,2600,83,442,LG464196950,4.46,4.48,2.74,61.3,57.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.46x4.48x2.74,https://s3.amazonaws.com/lgdcertificates/LG464196950.pdf,https://s3.amazonaws.com/lgdvideos/LG464196950.html
2000072204,ROUND,E,VVS2,0.33,IGI,Ideal,Excellent,Excellent,NONE,2600,83,442,LG468173872,4.46,4.5,2.71,60.5,57.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.46x4.5x2.71,https://s3.amazonaws.com/lgdcertificates/LG468173872.pdf,https://s3.amazonaws.com/lgdvideos/LG468173872.html
2000072607,ROUND,E,VVS2,0.33,IGI,Excellent,Excellent,Excellent,NONE,2600,83,442,LG468173873,4.43,4.45,2.76,62.2,57,Medium (Faceted),Pointed,MISC,LAB CREATED,4.43x4.45x2.76,https://s3.amazonaws.com/lgdcertificates/LG468173873.pdf,https://s3.amazonaws.com/lgdvideos/LG468173873.html
2000080711,ROUND,E,VS1,0.33,IGI,Ideal,Excellent,Excellent,NONE,2400,83,408,LG455009381,4.51,4.53,2.71,60,58.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.51x4.53x2.71,https://s3.amazonaws.com/lgdcertificates/LG455009381.pdf,https://s3.amazonaws.com/lgdvideos/LG455009381.html
2000056254,ROUND,E,VS1,0.33,IGI,Ideal,Excellent,Excellent,NONE,2400,83,408,LG464196948,4.47,4.5,2.72,60.8,57,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.47x4.5x2.72,https://s3.amazonaws.com/lgdcertificates/LG464196948.pdf,https://s3.amazonaws.com/lgdvideos/LG464196948.html
2000041722,ROUND,E,VS1,0.33,IGI,Ideal,Excellent,Excellent,NONE,2400,83,408,LG464196949,4.51,4.55,2.72,60.1,57.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.51x4.55x2.72,https://s3.amazonaws.com/lgdcertificates/LG464196949.pdf,https://s3.amazonaws.com/lgdvideos/LG464196949.html
2000047107,ROUND,E,VS1,0.33,IGI,Excellent,Excellent,Excellent,NONE,2400,83,408,LG464196951,4.42,4.44,2.78,62.7,56.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.42x4.44x2.78,https://s3.amazonaws.com/lgdcertificates/LG464196951.pdf,https://s3.amazonaws.com/lgdvideos/LG464196951.html
2000070788,ROUND,E,VS1,0.33,IGI,Ideal,Excellent,Excellent,NONE,2400,83,408,LG468173757,4.44,4.46,2.76,62.1,56,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.44x4.46x2.76,https://s3.amazonaws.com/lgdcertificates/LG468173757.pdf,https://s3.amazonaws.com/lgdvideos/LG468173757.html
2000070911,ROUND,E,VS1,0.33,IGI,Ideal,Excellent,Excellent,NONE,2400,83,408,LG468173782,4.47,4.5,2.73,60.9,58,Medium (Faceted),Pointed,MISC,LAB CREATED,4.47x4.5x2.73,https://s3.amazonaws.com/lgdcertificates/LG468173782.pdf,https://s3.amazonaws.com/lgdvideos/LG468173782.html
2000071073,ROUND,E,VS2,0.33,IGI,Excellent,Excellent,Excellent,NONE,2300,83,391,LG468173762,4.47,4.49,2.77,61.8,58.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.47x4.49x2.77,https://s3.amazonaws.com/lgdcertificates/LG468173762.pdf,https://s3.amazonaws.com/lgdvideos/LG468173762.html
