Lot #,Shape,Color,Clarity,Weight,Lab,Cut Grade,Polish,Symmetry,Fluor,Rapaport Price,% Off RAP,Price/Ct,Certificate #,Length,Width,Depth,Depth %,Table %,Gridle,Culet,Description/Comments,Origin,Measurement,Certificate Image,Video Link
5000007049,ROUND,Very Light Brown,VS2,0.65,GCAL,Good,Excellent,Very Good,NONE,0,0,230,252170025,5.59,5.6,3.43,61,58,THIN - MEDIUM,NONE,MISC,LAB CREATED,5.59x5.6x3.43,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170025.pdf,https://s3.amazonaws.com/lgdvideos/252170025.html
6100413317,ROUND,E,VS2,0.66,IGI,Ideal,Excellent,Excellent,NONE,4000,83,680,LG470150457,5.59,5.62,3.44,61.3,57.5,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,5.59x5.62x3.44,https://s3.amazonaws.com/lgdcertificates/LG470150457.pdf,https://s3.amazonaws.com/lgdvideos/LG470150457.html
6100408972,ROUND,E,SI1,0.66,IGI,Ideal,Excellent,Excellent,NONE,3300,82,594,LG464196894,5.55,5.61,3.46,62,57,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,5.55x5.61x3.46,https://s3.amazonaws.com/lgdcertificates/LG464196894.pdf,https://s3.amazonaws.com/lgdvideos/LG464196894.html
6100408973,ROUND,E,SI1,0.66,IGI,Excellent,Very Good,Excellent,NONE,3300,82.25,585.75,LG464196895,5.59,5.63,3.45,61.6,59,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,5.59x5.63x3.45,https://s3.amazonaws.com/lgdcertificates/LG464196895.pdf,https://s3.amazonaws.com/lgdvideos/LG464196895.html
2000067653,ROUND,F,VS2,0.66,IGI,Excellent,Excellent,Excellent,NONE,3800,83,646,LG464197282,5.56,5.58,3.5,62.8,57.5,Medium (Faceted),Pointed,MISC,LAB CREATED,5.56x5.58x3.5,https://s3.amazonaws.com/lgdcertificates/LG464197282.pdf,https://s3.amazonaws.com/lgdvideos/LG464197282.html
6100211692,ROUND,I,VVS2,0.66,IGI,Ideal,Excellent,Very Good,NONE,3100,83,527,LG464196997,5.57,5.6,3.47,62.1,57,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,5.57x5.6x3.47,https://s3.amazonaws.com/lgdcertificates/LG464196997.pdf,https://s3.amazonaws.com/lgdvideos/LG464196997.html
5000007048,ROUND,Light Brown,VVS2,0.66,GCAL,Good,Good,Excellent,NONE,0,0,230,252170024,5.56,5.58,3.46,62,58,MEDIUM - SL.THICK,NONE,MISC,LAB CREATED,5.56x5.58x3.46,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170024.pdf,https://s3.amazonaws.com/lgdvideos/252170024.html
5000007073,ROUND,Light Brown,VVS2,0.66,GCAL,Good,Excellent,Very Good,NONE,0,0,230,252170029,5.6,5.63,3.43,61,57,THIN - MEDIUM,NONE,MISC,LAB CREATED,5.6x5.63x3.43,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170029.pdf,https://s3.amazonaws.com/lgdvideos/252170029.html
2000083327,ROUND,F,VS1,0.67,IGI,Excellent,Excellent,Excellent,NONE,4100,83,697,LG464197121,5.6,5.61,3.5,62.3,57.5,Medium (Faceted),Pointed,MISC,LAB CREATED,5.6x5.61x3.5,https://s3.amazonaws.com/lgdcertificates/LG464197121.pdf,https://s3.amazonaws.com/lgdvideos/LG464197121.html
4000314289,ROUND,G,I2,0.67,GCAL,VERY GOOD,VERY GOOD,VERY GOOD,NONE,1200,80,240,262560104,5.52,5.56,3.52,63.5,57,MDSTK,NONE,MISC,LAB CREATED,5.52x5.56x3.52,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL262560104.pdf,
6200009901,ROUND,H,VS1,0.67,IGI,Ideal,Excellent,Excellent,NONE,3600,83,612,LG455007440,5.56,5.6,3.47,62.2,57.5,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,5.56x5.6x3.47,https://s3.amazonaws.com/lgdcertificates/LG455007440.pdf,https://s3.amazonaws.com/lgdvideos/LG455007440.html
9000290748,ROUND,I,I2,0.67,GCAL,VERY GOOD,VERY GOOD,VERY GOOD,NONE,1000,80,200,290870187,5.58,5.62,3.48,62.1,58,STK,NONE,MISC,LAB CREATED,5.58x5.62x3.48,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL290870187.pdf,
9000003258,ROUND,J,I2,0.67,GCAL,VERY GOOD,VERY GOOD,VERY GOOD,NONE,1000,80,200,270190004,5.6,5.64,3.46,61.6,57,VTNSTK,NONE,MISC,LAB CREATED,5.60x5.64x3.46,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL270190004.pdf,
7000140835,ROUND,K,VS1,0.67,IGI,Very Good,Excellent,Good,NONE,2100,84,336,LG10135203,5.62,5.63,3.45,61.3,58.5,Medium,NONE,MISC,LAB CREATED,5.62x5.63x3.45,https://s3.amazonaws.com/lgdcertificates/LG10135203.pdf,https://s3.amazonaws.com/lgdvideos/LG10135203.html
